date,close
2024-06-15,422175.64
2024-06-16,420932.67
2024-06-17,422614.86
2024-06-18,424871.98
2024-06-19,427134.02
2024-06-20,423713.68
2024-06-21,426000.95
2024-06-22,428030.62
2024-06-23,426443.5
2024-06-24,430912.24
2024-06-25,429150.03
2024-06-26,427794.68
2024-06-27,430969.49
2024-06-28,432963.57
2024-06-29,436648.98
2024-06-30,432699.25
2024-07-01,431397.77
2024-07-02,433666.81
2024-07-03,434551.01
2024-07-04,434881.95
2024-07-05,434340.39
2024-07-06,436359.28
2024-07-07,436210.63
2024-07-08,434713.67
2024-07-09,439370.35
2024-07-10,440995.48
2024-07-11,441580.93
2024-07-12,440853.18
2024-07-13,442621.54
2024-07-14,445602.62
2024-07-15,441718.82
2024-07-16,438741.45
2024-07-17,440409.57
2024-07-18,446628.53
2024-07-19,447296.61
2024-07-20,444600.23
2024-07-21,443504.69
2024-07-22,444616.43
2024-07-23,445401.88
2024-07-24,448620.01
2024-07-25,447888.07
2024-07-26,445526.22
2024-07-27,444972.14
2024-07-28,451607.75
2024-07-29,451048.62
2024-07-30,457344.85
2024-07-31,467466.88
2024-08-01,468914.18
2024-08-02,470949.6
2024-08-03,469391.58
2024-08-04,469938.6
2024-08-05,465155.87
2024-08-06,464843.85
2024-08-07,459951.35
2024-08-08,461276.01
2024-08-09,458448.81
2024-08-10,461828.45
2024-08-11,465097.43
2024-08-12,471654.55
2024-08-13,471133.68
2024-08-14,465895.99
2024-08-15,465188.01
2024-08-16,462779.67
2024-08-17,460609.44
2024-08-18,459943.71
2024-08-19,457549.88
2024-08-20,453827.28
2024-08-21,450908.11
2024-08-22,452619.72
2024-08-23,453604.45
2024-08-24,458831.47
2024-08-25,458843.22
2024-08-26,461363.69
2024-08-27,460763.26
2024-08-28,459626.5
2024-08-29,462448.07
2024-08-30,461002.03
2024-08-31,455610.16
2024-09-01,457600.62
2024-09-02,455798.05
2024-09-03,456464.25
2024-09-04,456552.36
2024-09-05,454761.01
2024-09-06,455715.95
2024-09-07,461466.04
2024-09-08,466104.84
2024-09-09,464491.02
2024-09-10,467926.85
2024-09-11,467857.4
2024-09-12,465004.35
2024-09-13,469318.57
2024-09-14,469499.18
2024-09-15,471723.46
2024-09-16,471381.64
2024-09-17,469136.16
2024-09-18,468367.14
2024-09-19,470749.25
2024-09-20,467992.4
2024-09-21,469606.33
2024-09-22,469824.25
2024-09-23,462757.19
2024-09-24,462094.87
2024-09-25,461971.95
2024-09-26,457386.36
2024-09-27,452564.18
2024-09-28,450132.93
2024-09-29,448607.16
2024-09-30,444484.59
2024-10-01,444577.61
2024-10-02,451866.8
2024-10-03,456057.08
2024-10-04,459454.15
2024-10-05,455848.33
2024-10-06,466616.28
2024-10-07,468573.68
2024-10-08,471830.82
2024-10-09,468177.75
2024-10-10,469061.79
2024-10-11,469290.37
2024-10-12,472099.23
2024-10-13,473533.27
2024-10-14,474775.7
2024-10-15,471822.98
2024-10-16,466902.21
2024-10-17,471067.29
2024-10-18,468942.84
2024-10-19,467433.32
