ticker,date,close,volume
NCBFG,2024-06-15,94.86,479251
NCBFG,2024-06-16,94.76,584238
NCBFG,2024-06-17,94.64,320317
NCBFG,2024-06-18,95.09,467919
NCBFG,2024-06-19,94.86,513906
NCBFG,2024-06-20,95.18,639627
NCBFG,2024-06-21,96.03,513260
NCBFG,2024-06-22,95.15,378240
NCBFG,2024-06-23,95.49,657329
NCBFG,2024-06-24,95.58,487241
NCBFG,2024-06-25,96.28,325574
NCBFG,2024-06-26,95.93,558843
NCBFG,2024-06-27,97.06,471124
NCBFG,2024-06-28,97.57,529785
NCBFG,2024-06-29,98.6,366413
NCBFG,2024-06-30,99.37,318257
NCBFG,2024-07-01,96.03,427173
NCBFG,2024-07-02,94.92,605121
NCBFG,2024-07-03,95.78,353711
NCBFG,2024-07-04,96.87,379735
NCBFG,2024-07-05,96.8,464732
NCBFG,2024-07-06,96.98,598236
NCBFG,2024-07-07,97.83,541986
NCBFG,2024-07-08,98.69,557419
NCBFG,2024-07-09,97.93,413915
NCBFG,2024-07-10,97.37,559919
NCBFG,2024-07-11,97.09,780290
NCBFG,2024-07-12,96.1,368135
NCBFG,2024-07-13,97.09,670621
NCBFG,2024-07-14,97.77,600298
NCBFG,2024-07-15,99.62,488716
NCBFG,2024-07-16,97.82,436150
NCBFG,2024-07-17,99.07,326758
NCBFG,2024-07-18,99.15,530388
NCBFG,2024-07-19,98.79,586835
NCBFG,2024-07-20,99.57,778569
NCBFG,2024-07-21,100.42,426871
NCBFG,2024-07-22,99.72,400210
NCBFG,2024-07-23,101.0,431980
NCBFG,2024-07-24,100.94,589916
NCBFG,2024-07-25,100.04,464761
NCBFG,2024-07-26,97.68,370102
NCBFG,2024-07-27,97.0,549891
NCBFG,2024-07-28,98.54,497783
NCBFG,2024-07-29,98.92,520156
NCBFG,2024-07-30,100.35,607202
NCBFG,2024-07-31,100.75,378686
NCBFG,2024-08-01,101.97,545725
NCBFG,2024-08-02,103.64,496411
NCBFG,2024-08-03,106.31,456934
NCBFG,2024-08-04,108.56,513814
NCBFG,2024-08-05,107.87,364586
NCBFG,2024-08-06,107.7,670798
NCBFG,2024-08-07,108.89,582666
NCBFG,2024-08-08,105.57,585315
NCBFG,2024-08-09,106.37,434008
NCBFG,2024-08-10,105.55,499722
NCBFG,2024-08-11,107.96,373387
NCBFG,2024-08-12,107.4,663414
NCBFG,2024-08-13,106.82,456289
NCBFG,2024-08-14,107.0,351045
NCBFG,2024-08-15,107.35,354845
NCBFG,2024-08-16,108.63,500381
NCBFG,2024-08-17,111.89,533700
NCBFG,2024-08-18,113.93,343608
NCBFG,2024-08-19,113.79,538777
NCBFG,2024-08-20,116.42,298290
NCBFG,2024-08-21,117.96,570962
NCBFG,2024-08-22,120.36,585486
